Surface habitable,Surface du terrain,Chambres,Meublé,Type de cuisine,Surface du jardin,Terrasse,Surface de la terrasse,Nombre de façades,État du bâtiment,Combien de feux ouverts ?,Piscine,Salles de bains,Toilettes,Dressing,Cave,Bureau,Salon,Parkings intérieurs,Parkings extérieurs,Salle à manger,Salles de douche,Buanderie,Année de construction,id,transactionType,type,subtype,zip,price,état
100,2971,3,None,Pas équipée,None,None,None,4,À rénover,None,None,None,None,None,None,None,None,None,None,None,None,None,None,8253145,for sale,house,house,7760,280000,to renovate
139,898,3,Non,Équipée,None,Oui,None,3,Bon,None,None,1,2,None,None,None,None,1,None,None,None,None,1999,9157689,for sale,house,house,6800,289000,good
115,140,3,None,Équipée,50,None,12,2,Excellent état,None,None,2,2,None,None,Oui,Oui,1,1,Oui,2,None,None,9240740,for sale,house,house,1300,295000,as new
155,1094,4,Non,Équipée,None,Oui,None,4,À rafraîchir,None,None,1,2,None,None,None,None,2,6,Oui,None,Oui,1978,9287521,for sale,house,house,5300,295000,to be done up
140,250,3,Non,None,None,None,8,3,Excellent état,None,None,1,2,None,None,Oui,None,1,2,None,1,None,None,9229341,for sale,house,house,4020,299000,as new
100,1008,2,Non,Semi-équipée,None,None,None,4,Bon,None,None,1,2,None,Oui,None,None,3,6,None,None,None,2000,9280024,for sale,house,house,6940,299000,good
160,1700,4,Non,Équipée,None,Oui,None,4,None,None,None,1,2,None,None,None,None,None,None,None,None,Oui,2010,9130124,for sale,house,house,7870,299000,None
152,799,4,Non,Semi-équipée,250,None,15,3,À rénover,None,None,1,None,None,Oui,Oui,None,1,3,Oui,None,None,1899,9124751,for sale,house,house,1420,300000,to renovate
95,50,2,Non,Américaine hyper-équipée,35,Oui,None,3,Excellent état,None,None,1,2,None,None,None,None,6,6,Oui,1,None,2020,9153049,for sale,house,house,1730,305000,as new
286,None,6,Non,Semi-équipée,None,Oui,None,2,Bon,None,None,3,4,None,Oui,None,None,1,3,Oui,3,None,1850,9115817,for sale,house,house,6820,310000,good
411,687,5,None,Équipée,500,None,35,2,Excellent état,None,None,None,2,None,Oui,None,None,None,None,None,1,None,None,9215706,for sale,house,house,4480,320000,as new
120,10,2,None,Pas équipée,None,None,10,2,À rénover,None,None,1,None,None,Oui,None,Oui,None,None,Oui,None,None,1928,9144780,for sale,house,house,1160,325000,to renovate
320,170,5,Non,Semi-équipée,None,None,None,2,Bon,None,None,1,2,None,Oui,None,None,None,None,None,1,None,1958,8946530,for sale,house,house,1400,325000,good
150,1237,3,None,Équipée,1100,None,30,4,Excellent état,None,None,1,2,None,Oui,Oui,None,1,None,None,1,None,None,9197892,for sale,house,house,4500,325000,as new
120,590,2,None,Semi-équipée,None,None,20,3,À rafraîchir,None,None,1,2,None,Oui,None,None,None,3,None,1,None,1932,9161544,for sale,house,house,1300,330000,to be done up
241,66,5,Non,Équipée,None,None,6,2,Bon,None,None,2,3,Non,None,Non,None,None,None,Oui,None,Oui,1925,8795099,for sale,house,house,8400,333000,good
235,3555,2,Non,Équipée,2000,None,25,4,À rafraîchir,None,None,2,3,None,None,Oui,None,2,5,None,2,None,None,9194879,for sale,house,house,4020,335000,to be done up
176,650,4,Non,Équipée,450,Oui,None,3,Bon,None,None,2,3,None,None,Oui,None,1,4,None,2,None,None,9266442,for sale,house,house,4671,335000,good
150,1326,3,Non,Équipée,None,None,None,4,Fraîchement rénové,1,None,1,2,None,None,None,None,1,None,None,None,None,1996,9269170,for sale,house,house,7864,336000,just renovated
150,572,3,Non,Équipée,512,None,30,4,Excellent état,None,None,2,2,None,Oui,Non,None,1,2,None,None,Oui,1961,9221291,for sale,house,villa,7830,340000,as new
214,261,3,None,None,25,Oui,None,3,Excellent état,None,None,1,2,None,Oui,Oui,Oui,None,None,Oui,None,None,2021,9122063,for sale,house,house,9700,344500,as new
146,5,4,Non,Pas équipée,None,None,5,None,Bon,None,None,6,3,None,None,None,None,None,None,None,None,None,1991,9158793,for sale,house,house,4000,345000,good
146,5,4,Non,Pas équipée,None,None,5,None,Bon,None,None,6,3,None,None,None,None,None,None,None,None,None,1991,9158792,for sale,house,apartment block,4000,345000,good
146,5,4,Non,Pas équipée,None,None,5,None,Bon,None,None,6,3,None,None,None,None,None,None,None,None,None,1991,9158791,for sale,house,house,4000,345000,good
146,5,4,Non,Pas équipée,None,None,5,None,Bon,None,None,6,3,None,None,None,None,None,None,None,None,None,1991,9158790,for sale,house,apartment block,4000,345000,good
187,245,4,Non,Semi-équipée,None,None,None,4,Bon,None,None,1,2,None,None,None,None,None,None,Oui,None,None,1930,9172621,for sale,house,house,1785,349000,good
145,108,4,Non,Semi-équipée,None,None,20,3,À rénover,None,None,2,3,None,Oui,None,None,None,None,Oui,None,None,1957,9043594,for sale,house,mixed use building,1790,349000,to renovate
161,130,5,Non,Hyper équipée,None,None,None,2,À rénover,None,None,1,None,None,Oui,None,None,None,None,Oui,None,None,1949,9286263,for sale,house,house,1800,349000,to renovate
160,930,2,None,Pas équipée,None,None,1,3,Bon,None,None,1,2,None,None,Oui,None,None,2,Oui,1,None,None,9273060,for sale,house,house,4219,349000,good
235,550,4,Non,Équipée,None,Oui,None,4,Excellent état,None,None,2,3,None,Oui,None,None,None,5,None,1,None,2008,9265132,for sale,house,house,4460,349000,as new
356,1056,5,None,Équipée,600,Oui,None,4,Excellent état,1,None,2,3,None,None,None,None,2,2,None,None,None,2007,9287562,for sale,house,villa,6690,349000,as new
110,None,2,Non,Équipée,135,Oui,None,2,À rafraîchir,None,None,1,1,None,None,None,None,None,None,None,None,None,1948,9160980,for sale,house,house,1160,350000,to be done up
278,680,4,Non,Hyper équipée,450,Oui,None,4,Bon,None,None,1,2,None,None,None,None,1,4,None,None,None,1970,9280729,for sale,house,bungalow,1790,350000,good
174,435,4,Non,Pas équipée,None,None,6,2,Bon,None,None,3,3,None,Oui,None,None,None,8,Oui,3,None,None,9266420,for sale,house,mixed use building,4860,350000,good
