206,1690,3,Non,Équipée,1,None,1,3,Excellent état,None,None,2,None,Non,None,Oui,None,None,5,None,None,None,1969,9317686,for sale,house,house,3770,485000,as new
191,1045,3,None,Équipée,None,Oui,None,3,Bon,None,None,1,2,None,None,None,None,2,5,None,None,Oui,1996,9274494,for sale,house,house,3770,339000,good
110,124,2,Non,Équipée,None,Oui,None,2,None,None,None,1,1,None,None,None,None,None,None,None,None,None,2012,8976835,for sale,house,house,3770,275000,None
280,1632,3,Non,None,None,None,None,4,Bon,None,None,1,None,None,Oui,None,None,None,None,Oui,None,None,1979,9267397,for sale,house,house,3770,475000,good
210,1689,2,Non,Équipée,720,None,None,4,Bon,None,None,1,3,Non,None,Non,Oui,None,None,None,None,None,1947,9306584,for sale,house,mixed use building,3770,500000,good
121,679,3,Non,Équipée,None,None,None,None,None,None,None,1,1,Non,None,Non,None,1,None,Oui,None,None,1968,9278523,for sale,house,house,3770,285000,None
178,921,3,Non,Équipée,None,Oui,None,4,None,None,None,1,1,None,Oui,None,None,1,None,None,None,None,1930,9315281,for sale,house,mixed use building,3770,299000,None
150,420,2,Non,Équipée,317,Oui,None,3,Bon,None,None,1,1,None,Oui,None,None,1,None,None,None,None,1932,9284115,for sale,house,house,3770,235000,good
178,1800,4,Non,Semi-équipée,1401,Oui,None,4,Bon,None,None,1,2,None,Oui,None,None,2,None,None,None,None,1976,7813564,for sale,house,mixed use building,3770,465000,good
178,1800,4,Non,Semi-équipée,1401,Oui,None,4,Bon,None,None,1,2,None,Oui,None,None,2,None,None,None,None,1976,7813560,for sale,house,house,3770,465000,good
208,204,3,Non,Équipée,None,None,105,4,Bon,None,None,1,None,None,Oui,None,None,1,None,None,None,None,1966,9092179,for sale,house,house,3770,180000,good
383,220,5,Non,Hyper équipée,None,None,None,3,Bon,None,None,1,None,None,Oui,None,None,None,None,None,None,None,1948,7302887,for sale,house,mixed use building,3770,290000,good
383,220,5,Non,Hyper équipée,None,None,None,3,Bon,None,None,1,None,None,Oui,None,None,None,None,None,None,None,1948,7558992,for sale,house,house,3770,290000,good
362,413,7,Non,Semi-équipée,220,Oui,None,3,Bon,1,None,3,None,None,Oui,Oui,None,2,None,None,1,None,1986,7376145,for sale,house,house,3770,300000,good
227,1087,None,Non,Équipée,None,Oui,None,4,À rénover,None,None,1,2,None,None,None,None,None,10,None,None,None,1981,8744523,for sale,house,mixed use building,3770,425000,to renovate
155,430,3,Non,Équipée,None,None,24,4,Fraîchement rénové,None,None,1,2,None,Oui,None,Oui,None,2,Oui,None,Oui,1975,9302490,for sale,house,house,3770,269000,just renovated
123,259,3,Non,Équipée,100,None,20,3,Excellent état,1,None,1,1,Non,None,Non,None,1,2,None,1,None,2013,9227959,for sale,house,house,3770,280000,as new
135,725,4,Non,Semi-équipée,400,None,None,3,À rafraîchir,None,None,1,1,Non,None,Non,None,1,None,None,None,Oui,1915,8987472,for sale,house,house,3770,165000,to be done up
200,376,3,None,None,None,None,36,3,À rafraîchir,None,None,1,2,None,Oui,None,Oui,1,2,Oui,None,Oui,1963,9179100,for sale,house,house,3770,195000,to be done up
395,5183,3,Non,Semi-équipée,None,Oui,None,4,Bon,None,None,1,None,None,Oui,Oui,None,2,None,None,None,None,1995,8374093,for sale,house,house,3770,825000,good
395,5183,3,Non,Semi-équipée,None,Oui,None,4,Bon,None,None,1,None,None,Oui,Oui,None,2,None,None,None,None,1995,8374091,for sale,house,mixed use building,3770,825000,good
249,210,6,Non,Semi-équipée,None,None,None,3,À rafraîchir,None,None,3,3,Non,None,Non,None,None,None,None,None,None,1935,9059289,for sale,house,house,3770,139000,to be done up
145,1900,5,Non,Semi-équipée,1300,None,None,3,À rénover,None,None,1,1,Non,None,Oui,None,None,2,Oui,1,None,1870,9217181,for sale,house,house,3770,239000,to renovate
None,30000,3,Non,Équipée,None,Oui,None,4,Bon,1,None,1,None,None,None,None,None,None,None,None,None,None,1983,9248861,for sale,house,exceptional property,3770,1275000,good
